robot_name,success_probability,successes,runs,estimand
pr2,0.5842696629213483,52,89,P(success | do(robot=pr2))
tiago,0.40860215053763443,38,93,P(success | do(robot=tiago))
stretch,0.19101123595505617,17,89,P(success | do(robot=stretch))
hsrb,0.02247191011235955,2,89,P(success | do(robot=hsrb))
