robot_name,runs,success_probability,failure_count,failure_feasibility_reason_mode,failure_feasibility_reason_mode_count,failure_feasibility_reason_mode_share,failure_robot_decision_mode,failure_robot_decision_mode_count,failure_robot_decision_mode_share,failure_decision_reason_mode,failure_decision_reason_mode_count,failure_decision_reason_mode_share,failure_phase_mode,failure_phase_mode_count,failure_phase_mode_share,failure_collision_failure_count_mean,failure_collision_failure_count_median,failure_recovery_used_mode,failure_recovery_used_mode_count,failure_recovery_used_mode_share,failure_recovery_success_mode,failure_recovery_success_mode_count,failure_recovery_success_mode_share,failure_motion_approach_completed_mode,failure_motion_approach_completed_mode_count,failure_motion_approach_completed_mode_share,failure_motion_stopped_waypoint_fraction_mean,failure_motion_stopped_waypoint_fraction_median,failure_motion_stopped_distance_m_mean,failure_motion_stopped_distance_m_median,failure_failure_count_mean,failure_failure_count_median
hsrb,89,0.02247191011235955,87,collision_or_motion_failure,86,0.9885057471264368,task_failed,86,0.9885057471264368,all_cut_attempts_failed,86,0.9885057471264368,primary,86,0.9885057471264368,2.9655172413793105,3.0,True,86,0.9885057471264368,False,87,1.0,True,86,0.9885057471264368,0.4634205611871391,0.75013397642015,0.6929244610065174,0.6928625073098678,2.9770114942528734,3.0
stretch,89,0.19101123595505617,72,collision_or_motion_failure,72,1.0,task_failed,72,1.0,all_cut_attempts_failed,72,1.0,primary,72,1.0,3.0,3.0,True,72,1.0,False,72,1.0,True,72,1.0,0.6114529053816423,0.8044596912521441,0.3320612532883944,0.2911738459952721,3.0,3.0
tiago,93,0.40860215053763443,55,collision_or_motion_failure,54,0.9818181818181818,task_failed,54,0.9818181818181818,all_cut_attempts_failed,54,0.9818181818181818,primary,54,0.9818181818181818,5.890909090909091,6.0,True,54,0.9818181818181818,False,55,1.0,True,54,0.9818181818181818,0.46936297009326045,0.40177685568223853,0.45582557366584625,0.48286902067641796,5.909090909090909,6.0
pr2,89,0.5842696629213483,37,collision_or_motion_failure,34,0.918918918918919,task_failed,34,0.918918918918919,all_cut_attempts_failed,34,0.918918918918919,primary,34,0.918918918918919,5.486486486486487,6.0,True,34,0.918918918918919,False,37,1.0,True,34,0.918918918918919,0.5122816425550437,0.7233329472606304,0.5686646892626993,0.5330634421496354,5.594594594594595,6.0
