robot_name,robot_name_internal,robot_feature_extraction_ok,robot_feature_error,robot_class,robot_has_base,robot_has_torso,robot_has_neck,robot_full_body_controlled,robot_drive_type,robot_controlled_connection_count,robot_hardware_dof_count,robot_base_bbox_width_m,robot_base_bbox_depth_m,robot_base_bbox_height_m,robot_base_bbox_volume_m3,robot_arm_count,robot_manipulator_count,robot_tool_frame_min_z_m,robot_tool_frame_max_z_m,robot_arm_root_min_z_m,robot_arm_root_max_z_m,robot_arm_reach_xy_max_m,robot_arm_reach_xyz_max_m,robot_sensor_count,robot_camera_min_z_m,robot_camera_max_z_m
armar7,armar7,False,"ParsingError: Could not resolve path 'package://iai_kit_armar7/urdf/Armar7.urdf'. Details: Could not resolve package 'iai_kit_armar7'. Details: Ament could not resolve package 'iai_kit_armar7': ""package 'iai_kit_armar7' not found, searching: ['/home/hassouna/workspace/ros/install/ur_description', '/home/hassouna/workspace/ros/install/stretch_description', '/home/hassouna/workspace/ros/install/robotiq_description', '/home/hassouna/workspace/ros/install/pmb2_robot', '/home/hassouna/workspace/ros/install/pmb2_description', '/home/hassouna/workspace/ros/install/realsense2_description', '/home/hassouna/workspace/ros/install/pal_gripper', '/home/hassouna/workspace/ros/install/pal_gripper_description', '/home/hassouna/workspace/ros/install/pal_gripper_controller_configuration', '/home/hassouna/workspace/ros/install/iai_tracy_description', '/home/hassouna/workspace/ros/install/iai_tracy', '/home/hassouna/workspace/ros/install/iai_tiago_description', '/home/hassouna/workspace/ros/install/iai_stretch', '/home/hassouna/workspace/ros/install/iai_shelves', '/home/hassouna/workspace/ros/install/iai_semantic_maps', '/home/hassouna/workspace/ros/install/iai_refills_lab', '/home/hassouna/workspace/ros/install/iai_pr2', '/home/hassouna/workspace/ros/install/iai_pr2_description', '/home/hassouna/workspace/ros/install/iai_maps', '/home/hassouna/workspace/ros/install/iai_kitchen_defs', '/home/hassouna/workspace/ros/install/iai_kitchen', '/home/hassouna/workspace/ros/install/iai_kit_mobile_lab', '/home/hassouna/workspace/ros/install/iai_apartment', '/home/hassouna/workspace/ros/install/hsr_description', '/home/hassouna/workspace/ros/install/garmi_description', '/home/hassouna/workspace/ros/install/chemistry_laboratory', '/opt/ros/jazzy']""; Package 'iai_kit_armar7' not found in ROS_PACKAGE_PATH.; Package 'iai_kit_armar7' not found in discovered colcon source workspaces.; Package 'iai_kit_armar7' not found in conventional workspace locations.",,,,,,,,,,,,,,,,,,,,,,,
hsrb,hsrb,True,,HSRB,True,True,True,True,OmniDrive,8.0,8.0,0.4340806007385254,0.4356856048107147,0.6933922618627548,0.13113619527552675,1.0,1.0,0.8997401202441201,0.8997401202441201,0.34500000000000003,0.34500000000000003,0.19128072813420832,0.5867920568344579,5.0,0.8154999999999999,0.969672
pr2,pr2,True,,PR2,True,True,True,False,OmniDrive,17.0,17.0,0.6682422161102295,0.6682422161102295,0.6561750769615173,0.2930134447684724,2.0,2.0,0.8946773531898394,0.9034849341393004,0.802175,0.802175,1.0433702084690581,1.0482772031653056,1.0,1.3004578576169998,1.3004578576169998
rollin_justin,justin,False,"ParsingError: Could not resolve path 'package://iai_dlr_rollin_justin/urdf/rollin_justin.urdf'. Details: Could not resolve package 'iai_dlr_rollin_justin'. Details: Ament could not resolve package 'iai_dlr_rollin_justin': ""package 'iai_dlr_rollin_justin' not found, searching: ['/home/hassouna/workspace/ros/install/ur_description', '/home/hassouna/workspace/ros/install/stretch_description', '/home/hassouna/workspace/ros/install/robotiq_description', '/home/hassouna/workspace/ros/install/pmb2_robot', '/home/hassouna/workspace/ros/install/pmb2_description', '/home/hassouna/workspace/ros/install/realsense2_description', '/home/hassouna/workspace/ros/install/pal_gripper', '/home/hassouna/workspace/ros/install/pal_gripper_description', '/home/hassouna/workspace/ros/install/pal_gripper_controller_configuration', '/home/hassouna/workspace/ros/install/iai_tracy_description', '/home/hassouna/workspace/ros/install/iai_tracy', '/home/hassouna/workspace/ros/install/iai_tiago_description', '/home/hassouna/workspace/ros/install/iai_stretch', '/home/hassouna/workspace/ros/install/iai_shelves', '/home/hassouna/workspace/ros/install/iai_semantic_maps', '/home/hassouna/workspace/ros/install/iai_refills_lab', '/home/hassouna/workspace/ros/install/iai_pr2', '/home/hassouna/workspace/ros/install/iai_pr2_description', '/home/hassouna/workspace/ros/install/iai_maps', '/home/hassouna/workspace/ros/install/iai_kitchen_defs', '/home/hassouna/workspace/ros/install/iai_kitchen', '/home/hassouna/workspace/ros/install/iai_kit_mobile_lab', '/home/hassouna/workspace/ros/install/iai_apartment', '/home/hassouna/workspace/ros/install/hsr_description', '/home/hassouna/workspace/ros/install/garmi_description', '/home/hassouna/workspace/ros/install/chemistry_laboratory', '/opt/ros/jazzy']""; Package 'iai_dlr_rollin_justin' not found in ROS_PACKAGE_PATH.; Package 'iai_dlr_rollin_justin' not found in discovered colcon source workspaces.; Package 'iai_dlr_rollin_justin' not found in conventional workspace locations.",,,,,,,,,,,,,,,,,,,,,,,
stretch,stretch,True,,Stretch,True,True,True,True,DifferentialDrive,12.0,12.0,0.34199438989162445,0.32499439641833305,0.16065616128616966,0.01785633152453089,1.0,1.0,0.11549627068154797,0.11549627068154797,0.0284,0.0284,0.5462167014017288,0.5531170267283577,4.0,1.257193315713037,1.3221933157108445
tiago,tiago,True,,Tiago,True,True,True,False,DifferentialDrive,29.0,29.0,0.4995494782924652,0.5,0.2749999985098839,0.0686880528930206,2.0,2.0,0.6864999999999999,0.6864999999999999,0.8885,0.8885,1.141225040734736,1.1589644488076414,1.0,1.0665,1.0665
unitree_g1,g1,False,"ParsingError: Could not resolve path 'package://iai_offis_g1_description/urdf/offis_unitree_g1.urdf'. Details: Could not resolve package 'iai_offis_g1_description'. Details: Ament could not resolve package 'iai_offis_g1_description': ""package 'iai_offis_g1_description' not found, searching: ['/home/hassouna/workspace/ros/install/ur_description', '/home/hassouna/workspace/ros/install/stretch_description', '/home/hassouna/workspace/ros/install/robotiq_description', '/home/hassouna/workspace/ros/install/pmb2_robot', '/home/hassouna/workspace/ros/install/pmb2_description', '/home/hassouna/workspace/ros/install/realsense2_description', '/home/hassouna/workspace/ros/install/pal_gripper', '/home/hassouna/workspace/ros/install/pal_gripper_description', '/home/hassouna/workspace/ros/install/pal_gripper_controller_configuration', '/home/hassouna/workspace/ros/install/iai_tracy_description', '/home/hassouna/workspace/ros/install/iai_tracy', '/home/hassouna/workspace/ros/install/iai_tiago_description', '/home/hassouna/workspace/ros/install/iai_stretch', '/home/hassouna/workspace/ros/install/iai_shelves', '/home/hassouna/workspace/ros/install/iai_semantic_maps', '/home/hassouna/workspace/ros/install/iai_refills_lab', '/home/hassouna/workspace/ros/install/iai_pr2', '/home/hassouna/workspace/ros/install/iai_pr2_description', '/home/hassouna/workspace/ros/install/iai_maps', '/home/hassouna/workspace/ros/install/iai_kitchen_defs', '/home/hassouna/workspace/ros/install/iai_kitchen', '/home/hassouna/workspace/ros/install/iai_kit_mobile_lab', '/home/hassouna/workspace/ros/install/iai_apartment', '/home/hassouna/workspace/ros/install/hsr_description', '/home/hassouna/workspace/ros/install/garmi_description', '/home/hassouna/workspace/ros/install/chemistry_laboratory', '/opt/ros/jazzy']""; Package 'iai_offis_g1_description' not found in ROS_PACKAGE_PATH.; Package 'iai_offis_g1_description' not found in discovered colcon source workspaces.; Package 'iai_offis_g1_description' not found in conventional workspace locations.",,,,,,,,,,,,,,,,,,,,,,,
