robot_name,random_success_rate,random_collision_failure_count,random_retry_count,random_recovery_rate,random_perturbation_rate,random_execution_time_s,n_x,paired_success_rate,paired_collision_failure_count,paired_retry_count,paired_recovery_rate,paired_perturbation_rate,paired_execution_time_s,n_y,delta_success_rate,delta_collision_failure_count,delta_retry_count,delta_recovery_rate,delta_perturbation_rate,delta_execution_time_s
armar7,0.26822157434402333,0.7317784256559767,0.0,0.7434402332361516,0.0,37.95977609329446,343,0.25268817204301075,4.720430107526882,4.043010752688172,0.8870967741935484,0.8548387096774194,53.422364516129036,186,-0.015533402301012578,3.9886516818709055,4.043010752688172,0.14365654095739677,0.8548387096774194,15.462588422834578
hsrb,0.30498533724340177,0.20527859237536658,0.0,0.21407624633431085,0.0,7.15403284457478,341,0.20430107526881722,2.5,1.7096774193548387,0.8870967741935484,0.8870967741935484,13.465787634408603,186,-0.10068426197458455,2.2947214076246336,1.7096774193548387,0.6730205278592375,0.8870967741935484,6.311754789833823
pr2,0.7329545454545454,0.26704545454545453,0.0,0.29261363636363635,0.0,36.603846022727275,352,0.5860215053763441,2.7795698924731185,2.39247311827957,0.5698924731182796,0.5376344086021505,40.556487634408604,186,-0.1469330400782013,2.512524437927664,2.39247311827957,0.27727883675464327,0.5376344086021505,3.9526416116813294
rollin_justin,0.7896253602305475,0.1988472622478386,0.0,0.25936599423631124,0.0,42.26350259365994,347,0.6344086021505376,2.1129032258064515,1.978494623655914,0.5,0.45698924731182794,39.70653333333333,186,-0.1552167580800099,1.914055963558613,1.978494623655914,0.24063400576368876,0.45698924731182794,-2.5569692603266105
stretch,0.2804878048780488,0.2073170731707317,0.0,0.21646341463414634,0.0,12.813974390243901,328,0.16666666666666666,2.5913978494623655,1.7580645161290323,0.8978494623655914,0.8978494623655914,18.695002688172043,186,-0.11382113821138215,2.3840807762916336,1.7580645161290323,0.6813860477314451,0.8978494623655914,5.881028297928141
tiago,0.4619164619164619,0.48402948402948404,0.06633906633906633,0.5085995085995086,0.0,29.821544963144962,407,0.43548387096774194,3.8548387096774195,3.295698924731183,0.7419354838709677,0.7150537634408602,42.70827204301075,186,-0.02643259094871997,3.3708092256479354,3.2293598583921166,0.2333359752714591,0.7150537634408602,12.88672707986579
unitree_g1,0.5365079365079365,0.4634920634920635,0.0,0.5492063492063493,0.0,45.98552,315,0.4946236559139785,3.752688172043011,3.247311827956989,0.7849462365591398,0.7258064516129032,45.85696720430107,186,-0.04188428059395799,3.2891961085509474,3.247311827956989,0.2357398873527905,0.7258064516129032,-0.12855279569892986
